ID,title,company,location,link,source,date_posted,work_type,employment_type
1,Data Analyst,Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186238974,LinkedIn,14-04-2025,N/A,N/A
2,Data Analyst,Meta,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186241553,LinkedIn,14-04-2025,N/A,N/A
3,Data Analyst,Meta,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186236994,LinkedIn,14-04-2025,N/A,N/A
4,Data Analyst,Meta,"Washington, DC",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4186237989,LinkedIn,14-04-2025,N/A,N/A
5,Data Analyst II,Pinterest,"Chicago, IL",https://www.linkedin.com/jobs/view/data-analyst-ii-at-pinterest-4193349988,LinkedIn,16-04-2025,N/A,N/A
6,Data Analyst,FanDuel,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-fanduel-4206047782,LinkedIn,11-04-2025,N/A,N/A
7,"Data Analyst, Production Finance Operations & Innovation",Netflix,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-production-finance-operations-innovation-at-netflix-4205626465,LinkedIn,10-04-2025,N/A,N/A
8,Data Analyst - Marketing,FanDuel,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-marketing-at-fanduel-4138322262,LinkedIn,13-04-2025,N/A,N/A
9,Data Analyst,SBH Fashion,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-sbh-fashion-4168179268,LinkedIn,12-04-2025,N/A,N/A
14,Data Analyst II,Pinterest,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-ii-at-pinterest-4193356222,LinkedIn,16-04-2025,N/A,N/A
15,Data Analyst II,Pinterest,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-ii-at-pinterest-4193351793,LinkedIn,16-04-2025,N/A,N/A
16,"Data Analyst, Global Partnerships & Content",Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-global-partnerships-content-at-meta-4187153427,LinkedIn,14-04-2025,N/A,N/A
29,Data Analyst,FanDuel,"Atlanta, GA",https://www.linkedin.com/jobs/view/data-analyst-at-fanduel-4206048749,LinkedIn,11-04-2025,N/A,N/A
30,Data Analyst,FinThrive,United States,https://www.linkedin.com/jobs/view/data-analyst-at-finthrive-4208994892,LinkedIn,15-04-2025,N/A,N/A
31,Senior Data Analyst,alice + olivia,"New York, NY",https://www.linkedin.com/jobs/view/senior-data-analyst-at-alice-%2B-olivia-4190163049,LinkedIn,15-04-2025,N/A,N/A
32,"Data Products Analyst, YouTube",Google,"New York, NY",https://www.linkedin.com/jobs/view/data-products-analyst-youtube-at-google-4209686717,LinkedIn,14-04-2025,N/A,N/A
34,Customer Relationship Management Analyst,Bvlgari,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/customer-relationship-management-analyst-at-bvlgari-4184835114,LinkedIn,11-04-2025,N/A,N/A
